hashtag,tweets,main tweet
#UnREALtv,"[('Directed by ShiriAppleby UnREALtv.', 752734085538312192), ('Where s the KKK omfg ShiriAppleby UnREALtv.', 752733510314565632), ('I will always love Quinn supporting Rachel as messed up as that dynamic is UnREALtv.', 752734456146866176), ('I aspire to be Rachel or Quinn UnREALtv.', 752734533833732097), ('I m so worried right now What is Rachel gonna do when Quinn brings in the Brit UnREALtv.', 752733237458440193), ('Let the freak show begin UnREALtv.', 752733418857701380), ('Beth Ann the gullible fool is about to be totally screwed by Rachel UnREALtv.', 752734659885182976), ('Beth Ann is giving Rachel every bullet that s about to hit her Shits about to go down UnREALtv.', 752734345115234305), ('I m gonna rip off his balls deep fry them and eat them Quinn UnREALtv.', 752734501176881156)]","[('Who s watching UnREALtv.', 752733591142952962)]"
Nicki,"[('Nicki is trending HipHopHonors.', 752734262013661184), ('When Nicki ain t even being honored but trending HipHopHonors.', 752734256355381248), ('Why is Nicki discussed more than the females who are there.', 752734271366770688), ('NickiBeausoleil ingat Nicki You will be remembered.', 752734214647214081), ('Nicki Minaj is the 1st female rapper to have a 1 BBT200 album amp a 1 Hip Hop R amp B song charting simultaneously https.', 752734384747405312), ('The fact that Nicki Minaj is trending bc of a show that was not even honoring her really shows her power amongst this ge.', 752734260717580288), ('Nicki Minaj was nowhere to be found tonight amp she still has you all pressed That s power.', 752734259119550464), ('You ain t gotta like Nicki but she s done more for hip hop than any other female rapper Don t argue with facts amp get y.', 752734276907569152), ('Nicki Minaj has just won SIX awards at the ASCAP Rhythm amp Soul Awards which recognizes areas of song writing https.', 752734340686159872)]","[('lil Kim gt Nicki Minaj.', 752734221215543296)]"
#SYTYCD,"[('Gah That Dance10Fikshun and Kida duo Please ChrisLXD Amazeballs SYTYCD.', 752734828001267712), ('RETWEET to show your support for Sheaden SYTYCD.', 752734980485230592), ('We like it like that Way to go Jake SYTYCD.', 752734293365927936), ('RETWEET if you re excited to see maddieziegler take her seat at the judges table SYTYCD.', 752734526003089408), ('What a haunting performance by our all stars and the Next Generation SYTYCD.', 752734714323046400), ('RETWEET to show your support for Jake SYTYCD.', 752733743337467905), ('We re in awe of all of our Top 10 dancers SYTYCD.', 752734478255071232), ('Comfort and Tahani SYTYCD.', 752733783535656961), ('Mandy Moore s choreography for JT and Robert had me crying like a little baby SYTYCD.', 752734745927094273)]","[('We re speechless The all stars just blew us away SYTYCD.', 752734987754102784)]"
#HipHopHonors,"[('Don t be Foolish Join us LIVE HipHopHonors starts at 9 8c AllHailTheQueens Ashanti.', 752734338484203520), ('Rounds of applause for Teyana Taylor Lil Mama amp DeJ Loaf s Lil Kim Tribute Nailed it HipHopHonors.', 752734376929005568), ('Teyana Taylor is not playing she is about to body this Lil Kim tribute HipHopHonors.', 752734335661445124), ('One more time for TEYANATAYLOR killing the HipHopHonors.', 752734375108710400), ('So weird that they had Faith Evans do the introduction to the Lil Kim tribute HipHopHonors.', 752734324332515328), ('Puff You will always be the Queen Kim Imma still need those checks tho I LOVE you so much HipHopHonors.', 752734359937921024), ('LilKim Spread love it s the BROOKLYN way HipHopHonors.', 752734368943124481), ('Black women we see you we love you and we are with you and your leadership common hiphophonors.', 752734344100347904), ('TeyanaTaylor wasn t playing with y all tonight HipHopHonors That weave toss tho.', 752734377264775168)]","[('All these women HipHopHonors.', 752734350387535872)]"
Adam Duvall,"[('Duvall eliminated by Frazier in 2016 Derby Reds outfielder Adam Duvall showed off his prodigious power in Mo.', 752726167409479680), ('Duvall eliminated by Frazier in 2016 Derby Reds outfielder Adam Duvall showed off his prodigious p fanrates.', 752726164938977280), ('Strong showing from NJCAA product Adam Duvall with 26 home runs in a semifinal finish at the MLB HRDerby.', 752721476239843328), ('Adam Duvall was born amp raised in Louisville played AAA in Louisville and has a gold Louisville Slugger tonight.', 752733399836532736), ('The jerseys in the Home Run Derby look horrendous but Adam Duvall does not.', 752728782411300864), ('Adam Duvall was born amp raised in Louisville played AAA in Louisville amp has a gold Louisville Slugger tonight.', 752728579868286976), ('Cincinnati Reds Adam Duvall finishes third in Home RunDerby.', 752724961731629056), ('Adam Duvall doesn t win 2016 Home Run Derby Reds fans still love him anyway The Reds slugger put on a hellu.', 752730168980934657), ('I will forever love Adam Duvall.', 752719132328464385)]","[('CincinnatiReds Reds cincinnati Cincinnati Reds Adam Duvall finishes third in Home Run Derby.', 752732244532404225)]"
#AYTO,"[('Oh my gawwwwwwddddddddd ASAF BRUHHHHHHHHHHHHH AYTO.', 752734811014311936), ('These guys are assholes AYTO.', 752734291168104449), ('So many feels AYTO.', 752734727434477568), ('I honestly don t understand why everyone is fighting over Asaf and Julia AYTO.', 752734602498715648), ('OOOOO DIABFIAMRBAKDN THIS IS MESSY AYTO.', 752734715421929472), ('The TrojanCondoms promo in AYTO though AreYouTheOne.', 752734659444809729), ('Sorry guys Sorry Tori AYTO.', 752734902156570624), ('Ok riv gio didn t seem like the bad guy like it seemed in the last episode AYTO.', 752734188298653701), ('AYTO HECK no Gio you can t do my girl Kaylen like that.', 752733982106611712)]","[('Gio you messing up ayto.', 752734561797152768)]"
Chanel Iman,"[('Chanel Iman never dissapoints.', 752718469175488512), ('Chanel Iman is baaaadddd Js.', 752726127202930688), ('Chanel Iman is what I want.', 752717938906411008), ('Chanel Iman is so beautiful.', 752724533279354880), ('Chanel Iman bae asf.', 752713076361818112), ('01021543560 01021543560 01021543560 Chanel Iman.', 752716348891869185), ('Alicia Vikander and Chanel Iman demonstrate how to do an all black summer ensemble.', 752734229352554496), ('Don t know why Chanel Iman trending but S O to her.', 752721532988698625), ('Every time I see Chanel Iman all I can think of is Lily.', 752710243767857152)]","[('Looks by Chanel Iman.', 752734031054266368)]"
Amber Rose,"[('oh amber rose is trending.', 752733581428920320), ('Amber Rose though HipHopHonors.', 752733528530546688), ('Dude I love Amber Rose.', 752732647328145408), ('Man i love amber rose.', 752732649823670273), ('Amber Rose body bruh.', 752734240639291392), ('Amber Rose body is stupid.', 752732735823687681), ('Amber Rose is sooo everything to me.', 752733208458829825), ('What did Amber Rose do to fuck the awards up.', 752733723548868608), ('PUSH THROUGH Amber Rose Vashtie HipHopHonors DaRealAmberRose.', 752734337280323584)]","[('Amber Rose has a show.', 752732658757607427)]"
Omari Hardwick,"[('01021543560 01021543560 Omari Hardwick.', 752725255441887233), ('RT InhaleTheXO Omari Hardwick makes my ovaries tingle.', 752704753797206016), ('I would redacted Omari Hardwick I would redacted him repeatedly no questions.', 752710086288637952), ('Can t wait to see Omari Hardwick Power.', 752731732500066304), ('RT laurynshanal Omari Hardwick is one beautiful man.', 752730812521582592), ('Omari Hardwick my brother.', 752727214806958080), ('Omari Hardwick so gotdamn fine.', 752710640079253504), ('Omari Hardwick is one beautiful man.', 752719854130507782), ('I think I need to give Power another shot at least for Omari Hardwick s body.', 752706720183508992)]","[('Omari Hardwick and Common with those beards.', 752713214408941568)]"
Chris Berman,"[('In the year we lost Muhammad Ali down goes Frazier Chris Berman in worst line of year mlb hrderby.', 752734559733747713), ('Chris Berman drops awkward Muhammad Ali reference during HR Derby.', 752734546530099200), ('Chris Berman drops awkward Muhammad Ali reference during HR Derby h t TheCauldron cjzero.', 752734492842987520), ('As only he can Chris Berman finds the most awkward way possible to wrap up a fun HRDerby Via awfulannouncing.', 752733393075310594), ('My SInow cover story from last year on the man who might kill Chris Berman tonight.', 752731273378930688), ('Vin Scully s like a fine wine that just gets better w age Chris Berman s more like a jug of milk that s sat on sidewalk.', 752733590442635264), ('CHRIS BERMAN S FAVORITE MOVIE OF ALL TIME IS BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK.', 752733486121836544), ('There are two kinds of people in the world 1 People who find Chris Berman annoying on HR Derby night 2 Dead people.', 752734128001343488), ('Is there a single person not related to or friends with Chris Berman that likes listening to him on NFL Draft or HR Derby MUTEBUTTON.', 752732083215142912)]","[('Gotta hand it to Chris Berman His back back back call never gets old Unless you count 1996 and every year after.', 752731512760594432)]"
